20221204	20:39:55	7ae3c175-173f-49ff-8e06-b77a1aec4b8c	POST	undefined	/register
20221204	22:01:32	1acb8d20-73b7-41b5-941c-2463b8235956	POST	undefined	/register
20221204	23:08:45	3f7dfd5e-be38-4401-880c-061145341efa	POST	undefined	/auth
20221204	23:08:55	2f6f6f54-f3b2-4406-92f3-3e03717656de	POST	undefined	/auth
20221204	23:09:05	79c0e05f-2da9-4507-8505-fe534ed92347	POST	undefined	/auth
20221204	23:09:21	2fa8b776-14c6-43c3-9e3a-0e732e6e7b41	POST	undefined	/auth
20221204	23:09:26	6dbecc33-3d35-42b9-a6da-cd1e103e6b7b	POST	undefined	/auth
20221204	23:09:36	0fa82a6b-3752-4418-9e30-c62fabf5960c	POST	undefined	/auth
20221204	23:10:00	dfcb6a36-95a8-4cc1-a959-2c57956f1029	POST	undefined	/auth
20221204	23:13:53	bf658656-a819-48ed-8d88-511992d5f44e	POST	undefined	/auth
20221204	23:13:57	50598dc3-ccae-4684-8817-ec409550e59d	POST	undefined	/auth
20221204	23:14:00	6708732e-e2c2-4ef5-94ec-c110825ebd4c	POST	undefined	/auth
20221204	23:45:11	fd55e536-d5aa-4bdc-b1b1-ffb81c295547	POST	undefined	/register
20221205	11:29:31	801c9dc8-9f81-4326-b991-334c4f5b6bd1	GET	undefined	/
20221205	11:29:31	e717ecae-5293-473f-8c7c-1d328e4558e7	GET	undefined	/css/style.css
20221205	14:32:06	05f8ff6a-c093-434e-8f29-849df0a2fe5d	POST	undefined	/auth
20221205	14:32:44	36b6817b-8f19-416c-a72b-19612cd9aed7	GET	undefined	/employees
20221205	14:33:16	167b9a0f-2b9c-4ccb-ab30-de289a9190fe	POST	undefined	/auth
20221205	14:33:28	c793e680-316b-480c-8c1c-c1ec57a9dc52	POST	undefined	/employees
20221205	14:33:42	4d78856c-6590-41e6-b01f-99577646a8fd	POST	undefined	/employees
20221205	14:33:53	71e33455-741b-4656-858e-4be4f111089b	POST	undefined	/employees
20221205	14:34:05	d62fcbff-8432-4cc2-a50f-9325e7368cdf	POST	undefined	/employees
